#
# unknown PARAMETER set 
#
#
# TimeSeriesTable of series:
#
# TT.L_Close [249,249] Werte
# TSCO.L_Close [261,261] Werte
# BP.L_Close [261,261] Werte
# BG.L_Close [261,261] Werte
# MGGT.L_Close [261,261] Werte
# AGK.L_Close [261,261] Werte
# RIO.L_Close [261,261] Werte
# SBRY.L_Close [261,261] Werte
# TLW.L_Close [261,261] Werte
# CCL.L_Close [261,261] Werte
# VOD.L_Close [261,261] Werte
# SVT.L_Close [261,261] Werte
# BLT.L_Close [261,261] Werte
# REX.L_Close [261,261] Werte
# MKS.L_Close [261,261] Werte
# ANTO.L_Close [261,261] Werte
# AZN.L_Close [261,261] Werte
# UU.L_Close [261,261] Werte
# SSE.L_Close [261,261] Werte
# RDSB.L_Close [261,261] Werte
# BA.L_Close [261,261] Werte
# AAL.L_Close [261,261] Werte
# MRW.L_Close [261,261] Werte
# NG.L_Close [261,261] Werte
# MNDI.L_Close [261,261] Werte
# BT-A.L_Close [261,261] Werte
# CNA.L_Close [261,261] Werte
# EZJ.L_Close [261,261] Werte
#
#
Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
1419321600000.0000	452.2000	184.6000	415.8500	879.5000	519.5000	1528.0000	2894.5000	244.1000	419.7000	2843.0000	224.7000	2040.0000	2765.0000	463.5000	484.0000	745.5000	4516.5000	933.5000	1627.0000	2266.0000	473.3000	1181.5000	180.4000	917.0000	1069.0000	414.1000	282.5000	1669.0000	
1396335600000.0000	366.6000	293.4000	484.3000	1129.0000	482.9000	1502.9980	3375.0000	309.5000	752.5000	2314.0000	220.3000	1857.0000	3764.0000	489.5000	459.8000	839.5000	3924.5000	801.0000	1489.0000	2349.0000	414.3000	1521.5000	210.8000	828.5000	1041.0000	379.9000	328.5000	1773.0000	
1418025600000.0000	362.7000	187.3000	417.3000	895.0000	508.5000	1561.0000	2883.0000	235.8000	391.8000	2803.0000	229.9500	1986.0000	2874.0000	454.7000	483.5000	726.5000	4695.5000	898.0000	1672.0000	2171.5000	479.8000	1244.0000	184.9000	927.0000	1081.0000	416.5000	283.6000	1705.0000	
1408086000000.0000	388.3000	248.0000	470.9500	1163.5000	467.8000	1710.0000	3406.0000	311.7000	706.0000	2239.0000	197.5500	1938.0000	4100.0000	496.7000	427.1000	807.0000	4092.5000	870.5000	1489.0000	2490.0000	437.0000	1577.5000	173.1000	875.0000	1006.0000	371.3000	313.5000	1289.0000	
1406790000000.0000	431.8000	258.0000	484.0000	1172.0000	508.5000	1720.0000	3392.0000	312.9000	728.5000	2147.0000	198.1000	1935.0000	4058.0000	501.0000	430.2000	810.5000	4344.5000	890.0000	1457.0000	2555.5000	427.8000	1599.0000	168.6000	855.5000	1043.0000	388.5000	309.0000	1295.0000	
1403679600000.0000	406.6000	285.2500	516.9000	1268.0000	508.5000	1606.0000	3097.5000	312.7000	846.5000	2227.0000	189.8000	1890.0000	3800.0000	525.0000	426.2000	762.5000	4362.0000	864.5000	1564.0000	2516.5000	422.9000	1427.5000	183.5000	839.5000	1081.0000	381.2000	313.9000	1474.0000	
1399273200000.0000	365.6000	285.5000	501.7000	1251.5000	476.9000	1644.9990	3247.0000	321.3000	884.0000	2377.0000	222.9000	1833.0000	3862.0000	504.0000	440.8000	790.5000	4808.0000	794.0000	1530.0000	2533.0000	401.1000	1565.0000	196.2000	838.5000	973.5000	377.5000	328.8000	1641.0000	
1402383600000.0000	428.5000	295.4000	507.2000	1242.5000	529.5000	1660.0000	3148.5000	329.8000	846.0000	2465.0000	208.8500	2000.0000	3775.0000	527.0000	455.7000	773.0000	4348.0000	901.0000	1576.0000	2471.5000	430.3000	1452.0000	194.5000	831.0000	1097.0000	396.5000	332.0000	1593.0000	
1414134000000.0000	369.0000	168.7500	432.8500	1043.0000	442.6000	1536.0000	3012.5000	238.2000	494.6000	2349.0000	200.5000	1988.0000	3254.0000	466.8000	414.2000	693.0000	4327.5000	838.0000	1536.0000	2287.0000	441.5000	1308.0000	152.5000	891.0000	1003.0000	370.0000	292.7000	1438.0000	
1389945600000.0000	423.4000	331.1000	491.0500	1344.5000	545.0000	1722.0000	3383.0000	368.6000	906.5000	2581.0000	136.4900	1645.0000	3780.0000	505.5010	486.5000	846.5000	3875.0000	688.0000	1320.0000	2279.5000	444.4000	1391.0000	252.4000	788.0000	1012.0000	383.4000	321.4000	1680.0000	
