#
# unknown PARAMETER set 
#
#
# TimeSeriesTable of series:
#
# TSCO.L_Close [261,261] Werte
# BP.L_Close [261,261] Werte
# BG.L_Close [261,261] Werte
# MGGT.L_Close [261,261] Werte
# AGK.L_Close [261,261] Werte
# RIO.L_Close [261,261] Werte
# SBRY.L_Close [261,261] Werte
# TLW.L_Close [259,259] Werte
# VOD.L_Close [261,261] Werte
# SVT.L_Close [261,261] Werte
# BLT.L_Close [261,261] Werte
# REX.L_Close [261,261] Werte
# MKS.L_Close [261,261] Werte
# ANTO.L_Close [261,261] Werte
# AZN.L_Close [261,261] Werte
# UU.L_Close [261,261] Werte
# SSE.L_Close [261,261] Werte
# BA.L_Close [259,259] Werte
# AAL.L_Close [160,160] Werte
# MRW.L_Close [261,261] Werte
# NG.L_Close [261,261] Werte
# BT-A.L_Close [261,261] Werte
# CNA.L_Close [261,261] Werte
#
#
Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
923900400000.0000	159.5000	1038.5000	134.0420	126.9380	210.0000	741.8420	324.0860	52.0000	684.1590	499.4620	317.9990	183.9860	337.6320	234.0000	2697.9900	720.6000	578.0000	435.5000	3193.9910	312.5000	344.7230	1072.0000	81.6630	
938761200000.0000	181.2500	1135.0000	135.2170	134.8950	281.5000	869.0620	321.9160	71.0000	156.3950	555.8120	501.5980	228.3560	255.9170	398.0000	2468.6900	651.8000	553.5000	403.2500	3250.0100	147.2500	325.7010	906.5000	129.8550	
935650800000.0000	178.0000	1162.0000	152.3640	160.2340	276.0000	912.4330	368.5550	75.0000	738.1860	548.7300	501.5980	266.4010	327.8760	356.5000	2456.9800	720.6000	577.5000	463.0000	3541.0010	158.0000	327.2540	993.0000	134.1290	
915436800000.0000	162.0000	924.5000	144.6240	90.1550	180.0000	583.6430	390.6820	54.0000	596.5770	606.0050	235.6000	148.3470	324.8260	177.5000	2628.7100	791.5000	625.0000	505.0000	3485.0090	275.0000	372.8670	939.0000	82.9700	
945158400000.0000	177.0000	623.5000	162.6980	119.6170	356.5000	1039.2400	298.9230	98.0000	175.1630	370.1310	680.5970	223.6340	232.1350	390.5000	2515.5200	587.9000	499.0000	437.2500	3301.0070	120.0000	357.3390	1399.0000	147.8400	
942048000000.0000	183.0000	566.0000	127.6730	109.9280	322.5000	835.1920	316.2770	76.0000	180.8500	540.4160	548.9990	209.3780	229.8990	462.0000	2765.3200	580.4000	560.5000	361.7500	2904.9930	131.2500	384.5140	1090.5000	138.3230	
934354800000.0000	171.2500	1205.0000	148.3470	138.6210	225.0000	1010.7400	337.9690	67.0000	651.7420	535.7970	536.9990	270.4100	299.6210	331.5000	2154.4900	794.5000	555.5000	426.7500	3633.0020	153.0000	301.6330	913.0000	118.9660	
931244400000.0000	172.5000	1221.0000	151.6780	149.4280	221.5000	990.9130	362.2650	66.0000	760.3660	615.8590	474.9980	240.5620	299.6210	297.0000	2391.6000	846.9000	655.0000	418.0000	3434.9950	139.0000	338.3170	1151.0000	124.2080	
922780800000.0000	165.5000	1079.0000	144.7220	137.3960	215.0000	728.2110	330.3770	55.0000	640.3680	527.7910	299.0000	183.9860	316.4920	258.0000	2873.6300	760.1000	576.0000	414.7500	3174.9900	306.5000	346.0820	997.0000	79.1220	
929948400000.0000	173.5000	1171.0000	150.5030	157.9990	208.5000	841.8010	335.3660	67.0000	760.9350	573.0560	431.5980	240.5620	293.9290	293.5000	2478.4400	761.6000	630.0000	410.0000	3150.0100	146.0000	353.6510	1106.0000	109.2870	
921484800000.0000	162.0000	973.5000	139.9210	149.6570	217.5000	732.7550	301.3090	57.0000	637.2390	521.0160	298.5990	187.9950	313.6470	176.0000	2347.6900	744.1000	533.0000	402.5000	3228.9900	282.0000	329.0010	1058.0000	82.2430	
937292400000.0000	193.0000	1178.0000	145.9950	145.7020	286.9990	901.2800	371.8090	83.0000	723.3980	554.8890	505.5990	261.0540	306.1260	386.0000	2355.5000	705.2000	582.0000	466.2500	3590.0050	155.0000	325.5070	906.0000	134.1290	
925369200000.0000	177.5000	1169.5000	139.4300	143.5260	220.0000	888.0630	330.1600	54.0000	647.7600	512.7020	413.6000	218.7340	349.6250	291.0000	2351.5900	715.2000	573.5000	464.7500	3444.0040	319.0000	329.5830	1025.0000	89.5030	
928479600000.0000	186.0000	1125.5000	139.4300	133.7900	217.5000	770.7560	337.3190	61.0000	697.8070	606.0050	376.9980	216.9520	312.2240	265.0000	2389.6500	817.5000	618.5000	423.5000	4234.9950	168.0000	340.0640	1091.0000	103.4800	
940230000000.0000	177.0000	552.5000	125.5160	121.4800	282.0000	802.9740	320.3990	65.0000	161.5140	538.8760	512.0000	232.5440	241.6880	406.0000	2659.9400	577.4000	540.5000	365.5000	3707.0120	134.0000	335.9880	935.5000	134.6930	
916905600000.0000	177.2500	895.5000	149.6210	98.8100	184.0000	592.7300	372.6760	62.0000	661.4100	591.2240	229.0000	158.5930	272.1790	170.0000	2792.6400	797.0000	621.0000	436.5000	3220.0080	316.5000	421.9750	959.0000	86.3820	
920016000000.0000	177.0000	889.0000	144.0360	121.5290	183.0000	667.9060	312.8060	60.0000	651.1730	546.8820	270.9990	176.4130	341.2910	175.0000	2533.0900	790.0000	578.5000	396.5000	3220.0080	307.5000	350.1570	1081.0000	84.2040	
946627200000.0000	188.2500	622.5000	176.6060	144.5840	366.0000	1235.0300	303.0440	102.0000	174.4800	378.7530	730.5980	222.7430	239.6560	433.5000	2505.7700	642.3000	494.2500	410.0000	3069.9940	133.0000	365.6850	1513.0000	141.5490	
924073200000.0000	170.0000	1032.5000	136.4910	127.2980	210.0000	752.9950	320.6160	54.0000	692.6890	504.6960	338.9980	193.7860	360.8060	232.5000	2659.9400	726.6000	565.5000	432.5000	3798.9860	305.5000	344.5290	1075.0000	79.9930	
915609600000.0000	164.2500	929.0000	152.8540	95.2030	181.5000	594.3820	397.4070	49.0000	619.3260	595.5360	241.9990	147.9020	341.0880	186.0000	2745.8000	798.0000	621.0000	518.0000	3610.9980	274.0000	395.9650	1011.5000	85.5100	
945331200000.0000	179.7500	642.5000	151.7710	117.3810	357.5000	1212.7200	282.2190	104.0000	174.1960	375.6740	761.5970	226.5740	221.3610	405.0000	2527.2300	614.3000	516.5000	413.7500	3252.0030	120.2500	362.7740	1316.0000	147.5980	
942220800000.0000	182.7500	603.5000	131.2980	109.5560	322.5000	850.8880	310.2020	71.0000	182.4420	521.0160	555.9980	210.2700	221.5640	468.0000	2823.8700	581.4000	544.0000	375.2500	3195.0010	133.0000	384.1250	1147.0000	140.1780	
934527600000.0000	173.2500	1234.0000	148.9340	148.6830	233.5000	1044.6100	338.4030	69.0000	690.4130	547.4980	589.9980	271.7460	300.6370	330.0000	2245.2400	729.1000	572.0000	439.2500	4037.0150	157.0000	309.2020	970.0000	119.3690	
931417200000.0000	169.5000	1216.0000	155.6950	150.1730	222.0000	985.1300	360.3130	80.0000	763.7770	610.0080	496.9980	247.2450	323.6060	298.0000	2360.3800	859.9000	635.5000	441.2500	3271.0040	150.5000	337.1520	1105.0000	121.7890	
922953600000.0000	166.0000	1009.5000	144.4280	130.9050	214.5000	708.3850	333.8480	51.0000	672.2150	528.4070	300.6000	182.2040	329.7050	254.0000	2963.4000	745.1000	561.5000	419.5000	3652.9860	310.0000	363.3560	1028.0000	81.8800	
927010800000.0000	182.5000	1081.5000	142.7620	133.7900	210.5000	793.8870	349.4650	62.0000	671.0780	556.1200	376.9980	200.9140	324.4200	300.5000	2384.7700	703.7000	595.5000	433.5000	3215.0120	329.5000	329.0010	1048.0000	99.2050	
930121200000.0000	171.7500	1173.0000	151.0910	157.6260	215.0000	824.4530	331.8950	68.0000	758.0900	580.1390	406.9990	220.5150	297.7910	286.0000	2474.5400	755.6000	625.5000	412.2500	3250.0100	145.5000	345.3060	1114.0000	110.3350	
918547200000.0000	180.5000	880.5000	139.5280	122.9710	192.0000	660.0580	327.7740	57.0000	601.1270	580.1390	261.0000	159.0380	294.7420	169.0000	2515.5200	801.5000	615.0000	436.0000	3188.9950	322.5000	374.0320	908.0000	83.4780	
921657600000.0000	161.0000	1001.0000	138.7450	147.4930	216.0000	713.7550	308.4670	57.0000	614.7750	509.3150	289.9980	189.3310	319.3380	181.5000	2458.9300	732.6000	518.0000	403.0000	2893.9910	280.5000	324.7300	996.5000	79.4850	
925714800000.0000	184.7500	1179.0000	136.6870	143.8870	221.0000	896.7370	342.7410	55.0000	651.1730	503.4640	421.9990	216.0610	345.1540	297.5000	2374.0400	701.7000	583.5000	465.0000	3325.0030	318.0000	334.0480	1044.0000	91.6810	
937465200000.0000	187.2500	1115.0000	146.7800	146.4470	294.0000	841.8010	363.3490	80.0000	706.9060	566.8980	480.9980	253.0360	294.3360	387.5000	2383.7900	699.7000	577.0000	437.0000	3179.0030	160.5000	334.2420	922.0000	134.6930	
917251200000.0000	175.2500	872.0000	148.5430	97.0060	183.5000	596.4480	367.2540	63.0000	652.5940	587.5290	228.0000	154.5840	274.4150	158.5000	2790.6900	786.5000	609.5000	427.5000	3506.9850	300.5000	384.1250	949.5000	87.1070	
943862400000.0000	174.2500	637.0000	135.2170	122.2250	331.5000	1010.3300	263.3470	90.0000	167.9400	483.4490	595.5980	223.9020	195.1410	422.5000	2793.6200	599.4000	489.5000	389.0000	3250.0100	130.0000	388.7830	1313.0000	141.9520	
933058800000.0000	164.7500	1178.0000	142.9580	136.0130	218.5000	905.8240	322.5680	75.0000	749.5600	576.4440	536.9990	274.4190	304.7020	335.0000	2275.4900	799.5000	595.5000	407.5000	2874.0080	155.5000	325.1190	1117.0000	111.5460	
940402800000.0000	186.5000	561.5000	131.0040	120.3620	290.5000	819.4960	324.0860	64.0000	146.1590	550.2700	516.5990	222.7430	234.9810	407.0000	2794.5900	614.8000	573.0000	369.7500	3488.9950	135.0000	350.1570	983.5000	142.5980	
924246000000.0000	181.5000	1125.0000	137.5690	138.1170	210.5000	843.8660	338.6200	52.0000	636.3860	513.0100	403.0000	230.3160	343.9340	245.0000	2516.5000	731.1000	585.5000	462.5000	3995.0000	301.5000	333.0760	1015.0000	81.8800	
939106800000.0000	188.7500	558.0000	140.4100	137.5040	277.4990	899.6280	324.5200	71.0000	158.5560	558.8920	536.5990	228.0890	263.8450	398.0000	2527.2300	669.2000	571.0000	409.0000	3364.9980	145.0000	329.1950	932.0000	129.2890	
935996400000.0000	177.0000	1153.0000	152.1680	159.8620	276.0000	923.1720	366.1690	75.0000	737.6170	562.2790	517.6000	261.0540	347.9990	356.5000	2448.2000	738.6000	585.0000	448.7500	2971.0040	155.5000	329.1950	995.0000	133.6450	
915782400000.0000	179.2500	914.5000	151.3850	106.0220	181.5000	576.2080	405.2150	49.0000	605.3920	585.0660	235.9980	162.1570	341.0880	186.5000	2748.7300	795.5000	603.0000	508.5000	3104.0100	297.0000	393.8310	956.0000	85.8730	
942393600000.0000	188.5000	613.0000	132.9640	109.5560	326.0000	908.7150	303.4780	73.0000	168.5090	516.3980	548.5990	218.5550	222.7850	469.0000	2824.8400	583.4000	541.5000	395.7500	3226.9970	131.7500	385.4840	1239.5000	140.7430	
927183600000.0000	179.5000	1117.0000	140.4100	133.4290	212.5000	842.6270	352.5030	61.0000	735.3410	566.5900	399.5980	225.8620	328.8920	299.5000	2422.8300	698.7000	607.0000	424.0000	3750.0100	332.5000	333.6590	1136.0000	100.8190	
930294000000.0000	166.7500	1161.0000	148.5430	155.3900	221.0000	847.1710	336.8850	67.0000	746.1470	574.5960	418.5990	223.6340	295.9620	291.5000	2482.3500	762.6000	632.0000	416.2500	3390.9880	143.5000	343.7530	1102.0000	110.9010	
918720000000.0000	181.7500	862.5000	141.9780	121.1680	192.5000	667.9060	323.2190	53.0000	621.8840	568.4380	262.0000	156.8110	297.1810	172.5000	2516.5000	824.5000	604.0000	440.0000	3393.0080	330.0000	378.8840	1009.5000	86.5990	
921830400000.0000	162.7500	1000.0000	140.2140	143.8870	217.5000	705.4940	314.5410	55.0000	611.3630	512.3940	284.0000	191.5590	301.6540	194.0000	2621.8800	748.6000	592.5000	389.0000	3425.0030	305.0000	334.8230	999.5000	80.9370	
925887600000.0000	190.2500	1125.0000	138.8430	143.8870	220.0000	843.4530	355.7570	55.0000	621.0310	540.1080	397.0000	209.8240	342.7140	305.0000	2306.7100	754.1000	614.5000	468.2500	3261.0120	312.0000	341.8110	1005.0000	90.3740	
